出發時段,出發機場代號,抵達時段,航空聯盟組合,航空公司組合,航空聯盟,停靠站數量,機型分類,假期,飛行時間兩段分類,是否為平日,停留時間_分鐘,實際飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,預測區間下界,預測區間上界,抵達機場代號
晚間班機,TPE,下午抵達,1,1,5,1,2,0,1,1,245,1085,-1.262158,1.0504261,104,26271.0,33700.117,30525.871,26435.97841813446,34573.85153898286,LHR
晚間班機,TPE,晚間抵達,1,1,1,1,1,0,2,1,780,1055,-1.262158,1.0504261,107,27706.0,38378.574,33051.15,29526.698949254172,37896.441191454796,LHR
上午班機,TPE,晚間抵達,1,1,3,1,1,0,2,1,100,1000,-1.262158,1.0504261,43,16955.0,19395.309,18342.139,16313.263723989776,22533.339070192662,LHR
下午班機,TPE,凌晨抵達,1,1,3,1,1,0,2,1,505,1000,-1.262158,1.0504261,121,17373.0,20060.887,19077.467,16585.2637489936,25067.107790842565,LHR
下午班機,TPE,早晨抵達,1,1,3,1,1,0,2,1,545,1010,-1.262158,1.0504261,98,19549.0,23093.746,21268.406,18181.546078953415,28342.222523060165,LHR
早晨班機,TSA,下午抵達,1,0,1,1,1,0,2,1,1375,1050,-1.262158,1.0504261,37,156702.0,154677.25,129175.164,82225.99053894261,164663.891721409,LHR
下午班機,TPE,早晨抵達,1,1,1,1,1,0,2,1,435,1050,-1.262158,1.0504261,108,15561.0,25129.03,20744.477,18240.507641570304,23859.386394434387,LHR
早晨班機,TPE,晚間抵達,1,0,1,1,1,0,2,1,125,1055,-1.262158,1.0504261,29,71826.0,55301.81,55410.03,45715.801284525594,68092.9310307198,LHR
上午班機,TPE,凌晨抵達,1,1,3,1,1,0,2,0,595,1010,-1.262158,1.0504261,37,21574.0,20955.275,20647.916,18289.291536483568,26370.132367142047,LHR
晚間班機,TPE,晚間抵達,1,0,1,1,1,2,1,1,615,1005,-1.262158,1.0504261,65,40879.0,53370.016,48119.96,41214.66403019535,63842.21071327769,LHR
早晨班機,TPE,晚間抵達,1,1,1,1,1,0,2,1,115,1070,-1.262158,1.0504261,33,32465.0,32013.717,28354.705,24947.15758046144,33365.05713540671,LHR
上午班機,TPE,晚間抵達,1,1,3,1,1,0,2,1,100,1000,-1.262158,1.0504261,37,16928.0,19717.861,18309.037,16410.874903742057,22815.77485436468,LHR
下午班機,TPE,凌晨抵達,1,1,3,1,1,0,2,1,450,1000,-1.262158,1.0504261,101,17575.0,22499.025,20720.018,18468.839465549925,26882.73621527903,LHR
下午班機,TPE,早晨抵達,1,1,1,1,1,0,1,1,95,1320,-1.262158,1.0504261,110,101827.0,135234.06,101647.484,86004.66175595137,115507.36673918938,LHR
下午班機,TPE,下午抵達,1,1,3,1,1,0,2,1,785,1015,-1.262158,1.0504261,92,17453.0,24134.045,20857.416,17744.77757541463,26217.592270695073,LHR
晚間班機,TPE,晚間抵達,1,0,2,1,1,2,1,1,760,1050,-1.262158,1.0504261,65,55584.0,57285.105,52417.75,44718.05447795462,63593.42940329098,LHR
下午班機,TSA,下午抵達,1,0,2,1,1,0,2,1,1120,885,-1.262158,1.0504261,120,32506.0,74320.89,87053.734,50765.91457609776,126013.8276269861,LHR
晚間班機,TPE,晚間抵達,1,0,2,1,1,2,1,0,660,1055,-1.262158,1.0504261,102,36257.0,45209.805,41990.266,35232.2171958034,52133.730525296305,LHR
晚間班機,TPE,早晨抵達,1,1,3,1,1,0,2,1,120,1010,-1.262158,1.0504261,105,18138.0,23837.875,21479.959,18094.08621305241,27072.412454278165,LHR
下午班機,TPE,下午抵達,1,1,3,1,1,0,2,0,1005,1015,-1.262158,1.0504261,111,17325.0,24773.895,20615.666,17537.61108289586,26703.363913420282,LHR
下午班機,TPE,早晨抵達,1,0,3,1,1,0,2,0,380,1050,-1.262158,1.0504261,106,65389.0,57694.777,63165.883,52299.094706551215,77388.8152536701,LHR
下午班機,TPE,早晨抵達,1,0,3,1,1,0,2,1,380,1050,-1.262158,1.0504261,108,65620.0,58595.027,64013.32,54943.75760954131,78484.89115775925,LHR
晚間班機,TPE,凌晨抵達,1,0,3,1,1,0,2,0,60,1025,-1.262158,1.0504261,108,25528.0,31288.115,28827.898,23743.765788195262,37906.611959573835,LHR
下午班機,TPE,下午抵達,1,1,3,1,1,0,2,1,1005,1015,-1.262158,1.0504261,105,21637.0,26425.92,21242.215,18203.658766782883,26937.86379038269,LHR
晚間班機,TPE,早晨抵達,1,1,3,1,1,0,2,1,75,1010,-1.262158,1.0504261,113,19814.0,21821.668,20850.096,18168.490109486334,25716.240499126718,LHR
